datetime,symbol,open,high,low,close,volume
2024-09-15 16:00:00,CRYPTOCAP:TOTAL,2054542979351.0,2055414579101.0,2052656764642.0,2052963718409.0,61002699161.23423
2024-09-15 17:00:00,CRYPTOCAP:TOTAL,2052967353610.0,2053835818335.0,2048048368284.0,2051215096778.0,61002699161.23423
2024-09-15 18:00:00,CRYPTOCAP:TOTAL,2051201743357.0,2051629781687.0,2047236351591.0,2050626698262.0,61002699161.23423
2024-09-15 19:00:00,CRYPTOCAP:TOTAL,2050632627008.0,2054384012014.0,2048814232936.0,2054245997566.0,61002699161.23423
2024-09-15 20:00:00,CRYPTOCAP:TOTAL,2054244214910.0,2061507691662.0,2053558539478.0,2056564412072.0,61002699161.23423
2024-09-15 21:00:00,CRYPTOCAP:TOTAL,2056559787651.0,2058803930168.0,2046268939254.0,2058794787692.0,61002699161.23423
2024-09-15 22:00:00,CRYPTOCAP:TOTAL,2058790468763.0,2061823512769.0,2055441366564.0,2060219617002.0,61002699161.23423
2024-09-15 23:00:00,CRYPTOCAP:TOTAL,2060214322504.0,2060690598526.0,2046025297722.0,2046297525666.0,61002699161.23423
2024-09-16 00:00:00,CRYPTOCAP:TOTAL,2046287332701.0,2049312535482.0,2039322003141.0,2042386388956.0,61002699161.23423
2024-09-16 01:00:00,CRYPTOCAP:TOTAL,2042403444231.0,2051915639654.0,2038078216283.0,2045832885838.0,61002699161.23423
2024-09-16 02:00:00,CRYPTOCAP:TOTAL,2045838910042.0,2051155504438.0,2041098068078.0,2042371152737.0,61002699161.23423
2024-09-16 03:00:00,CRYPTOCAP:TOTAL,2042373284353.0,2043661145807.0,2035189676264.0,2038945797991.0,61002699161.23423
2024-09-16 04:00:00,CRYPTOCAP:TOTAL,2038947556342.0,2038976559825.0,2026483269584.0,2032602043279.0,61002699161.23423
2024-09-16 05:00:00,CRYPTOCAP:TOTAL,2032564707944.0,2032880691579.0,2025625209792.0,2027292980889.0,61002699161.23423
2024-09-16 06:00:00,CRYPTOCAP:TOTAL,2027272062287.0,2027272495590.0,2000887304325.0,2014123485525.0,61002699161.23423
2024-09-16 07:00:00,CRYPTOCAP:TOTAL,2014122462772.0,2016486813833.0,1998679736892.0,2001069036428.0,116342167538.96384
2024-09-16 08:00:00,CRYPTOCAP:TOTAL,2001042357575.0,2002567139485.0,1987765530256.0,1994007697218.0,116342167538.96384
2024-09-16 09:00:00,CRYPTOCAP:TOTAL,1994005487267.0,1995397476878.0,1978011321562.0,1982073791393.0,116342167538.96384
2024-09-16 10:00:00,CRYPTOCAP:TOTAL,1982072555064.0,1994644484757.0,1981007090065.0,1994109176206.0,116342167538.96384
2024-09-16 11:00:00,CRYPTOCAP:TOTAL,1994109702495.0,1994650957036.0,1988563572918.0,1989610770508.0,116342167538.96384
